A,5.58,0.03,3.24221e+009,3872,207031
AU,0.44,0.03,5.42421e+009,3872,58618.5
BC,36.11,-60.97,4.6312e+008,3872,201786
F,0.08,0.03,3.85761e+010,3872,63803.5
GE,0.08,0.03,6.15985e+010,3872,70881.9
M,1.03,-0.08,2.67589e+010,3871,135775
QTM,2.17,0.04,1.52088e+008,3871,44028.3
R,18.57,0.04,2.3839e+008,3871,240333
S,0.13,0.04,9.09492e+009,3871,55025.2
T,0.2,0.03,3.2485e+010,3871,124037
UPS,4.84,0.03,2.26507e+009,3872,350189
